variable,measure,country,year,value,percentincrease,increase
Total population at birth,Years,Poland,2008,75.7,13.12684366,10 <= % <= 15
Total population at birth,Years,Poland,2009,75.8,13.12684366,10 <= % <= 15
Total population at birth,Years,Poland,2010,76.5,13.12684366,10 <= % <= 15
Total population at birth,Years,Poland,2011,76.8,13.12684366,10 <= % <= 15
Total population at birth,Years,Poland,2012,76.9,13.12684366,10 <= % <= 15
Total population at birth,Years,Poland,2013,77.1,13.12684366,10 <= % <= 15
Total population at birth,Years,Poland,2014,77.7,13.12684366,10 <= % <= 15
Total population at birth,Years,Poland,2015,77.6,13.12684366,10 <= % <= 15
Total population at birth,Years,Poland,2016,78,13.12684366,10 <= % <= 15
Total population at birth,Years,Poland,2017,77.9,13.12684366,10 <= % <= 15
Total population at birth,Years,Poland,2018,77.7,13.12684366,10 <= % <= 15
Total population at birth,Years,Poland,2019,78,13.12684366,10 <= % <= 15
Total population at birth,Years,Poland,2020,76.7,13.12684366,10 <= % <= 15
Total population at birth,Years,Portugal,1960,63.9,26.9170579,% >= 20
Total population at birth,Years,Portugal,1961,62.7,26.9170579,% >= 20
Total population at birth,Years,Portugal,1962,64.1,26.9170579,% >= 20
Total population at birth,Years,Portugal,1963,64.7,26.9170579,% >= 20
Total population at birth,Years,Portugal,1964,64.9,26.9170579,% >= 20
Total population at birth,Years,Portugal,1965,65.8,26.9170579,% >= 20
Total population at birth,Years,Portugal,1966,65.2,26.9170579,% >= 20
Total population at birth,Years,Portugal,1967,66,26.9170579,% >= 20
Total population at birth,Years,Portugal,1968,66.4,26.9170579,% >= 20
Total population at birth,Years,Portugal,1969,65.9,26.9170579,% >= 20
Total population at birth,Years,Portugal,1970,66.7,26.9170579,% >= 20
Total population at birth,Years,Portugal,1971,66.4,26.9170579,% >= 20
Total population at birth,Years,Portugal,1972,68.4,26.9170579,% >= 20
Total population at birth,Years,Portugal,1973,67.5,26.9170579,% >= 20
Total population at birth,Years,Portugal,1974,68.1,26.9170579,% >= 20
Total population at birth,Years,Portugal,1975,68.4,26.9170579,% >= 20
Total population at birth,Years,Portugal,1976,69,26.9170579,% >= 20
Total population at birth,Years,Portugal,1977,70.1,26.9170579,% >= 20
Total population at birth,Years,Portugal,1978,70.5,26.9170579,% >= 20
Total population at birth,Years,Portugal,1979,71.3,26.9170579,% >= 20
Total population at birth,Years,Portugal,1980,71.4,26.9170579,% >= 20
Total population at birth,Years,Portugal,1981,71.7,26.9170579,% >= 20
Total population at birth,Years,Portugal,1982,72.5,26.9170579,% >= 20
Total population at birth,Years,Portugal,1983,72.4,26.9170579,% >= 20
Total population at birth,Years,Portugal,1984,72.7,26.9170579,% >= 20
Total population at birth,Years,Portugal,1985,73,26.9170579,% >= 20
Total population at birth,Years,Portugal,1986,73.4,26.9170579,% >= 20
Total population at birth,Years,Portugal,1987,73.8,26.9170579,% >= 20
Total population at birth,Years,Portugal,1988,73.8,26.9170579,% >= 20
Total population at birth,Years,Portugal,1989,74.4,26.9170579,% >= 20
Total population at birth,Years,Portugal,1990,74.1,26.9170579,% >= 20
Total population at birth,Years,Portugal,1991,74.1,26.9170579,% >= 20
Total population at birth,Years,Portugal,1992,74.7,26.9170579,% >= 20
Total population at birth,Years,Portugal,1993,74.6,26.9170579,% >= 20
Total population at birth,Years,Portugal,1994,75.5,26.9170579,% >= 20
Total population at birth,Years,Portugal,1995,75.4,26.9170579,% >= 20
Total population at birth,Years,Portugal,1996,75.3,26.9170579,% >= 20
Total population at birth,Years,Portugal,1997,75.8,26.9170579,% >= 20
Total population at birth,Years,Portugal,1998,76,26.9170579,% >= 20
Total population at birth,Years,Portugal,1999,76.3,26.9170579,% >= 20
Total population at birth,Years,Portugal,2000,76.9,26.9170579,% >= 20
Total population at birth,Years,Portugal,2001,77.2,26.9170579,% >= 20
Total population at birth,Years,Portugal,2002,77.4,26.9170579,% >= 20
Total population at birth,Years,Portugal,2003,77.5,26.9170579,% >= 20
Total population at birth,Years,Portugal,2004,78.4,26.9170579,% >= 20
Total population at birth,Years,Portugal,2005,78.2,26.9170579,% >= 20
Total population at birth,Years,Portugal,2006,79,26.9170579,% >= 20
Total population at birth,Years,Portugal,2007,79.2,26.9170579,% >= 20
Total population at birth,Years,Portugal,2008,79.5,26.9170579,% >= 20
Total population at birth,Years,Portugal,2009,79.7,26.9170579,% >= 20
Total population at birth,Years,Portugal,2010,80,26.9170579,% >= 20
Total population at birth,Years,Portugal,2011,80.6,26.9170579,% >= 20
Total population at birth,Years,Portugal,2012,80.5,26.9170579,% >= 20
Total population at birth,Years,Portugal,2013,80.8,26.9170579,% >= 20
Total population at birth,Years,Portugal,2014,81.2,26.9170579,% >= 20
Total population at birth,Years,Portugal,2015,81.2,26.9170579,% >= 20
Total population at birth,Years,Portugal,2016,81.2,26.9170579,% >= 20
Total population at birth,Years,Portugal,2017,81.5,26.9170579,% >= 20
Total population at birth,Years,Portugal,2018,81.4,26.9170579,% >= 20
Total population at birth,Years,Portugal,2019,81.8,26.9170579,% >= 20
Total population at birth,Years,Portugal,2020,81.1,26.9170579,% >= 20
Total population at birth,Years,Spain,1960,69.8,18.05157593,15 <= % <= 20
Total population at birth,Years,Spain,1970,72,18.05157593,15 <= % <= 20
Total population at birth,Years,Spain,1975,73.4,18.05157593,15 <= % <= 20
Total population at birth,Years,Spain,1976,73.7,18.05157593,15 <= % <= 20
Total population at birth,Years,Spain,1977,74.2,18.05157593,15 <= % <= 20
Total population at birth,Years,Spain,1978,74.4,18.05157593,15 <= % <= 20
Total population at birth,Years,Spain,1979,74.9,18.05157593,15 <= % <= 20
Total population at birth,Years,Spain,1980,75.4,18.05157593,15 <= % <= 20
Total population at birth,Years,Spain,1981,75.7,18.05157593,15 <= % <= 20
Total population at birth,Years,Spain,1982,76.3,18.05157593,15 <= % <= 20
Total population at birth,Years,Spain,1983,76,18.05157593,15 <= % <= 20
Total population at birth,Years,Spain,1984,76.4,18.05157593,15 <= % <= 20
Total population at birth,Years,Spain,1985,76.4,18.05157593,15 <= % <= 20
Total population at birth,Years,Spain,1986,76.7,18.05157593,15 <= % <= 20
Total population at birth,Years,Spain,1987,76.9,18.05157593,15 <= % <= 20
Total population at birth,Years,Spain,1988,76.9,18.05157593,15 <= % <= 20
Total population at birth,Years,Spain,1989,77,18.05157593,15 <= % <= 20
Total population at birth,Years,Spain,1990,77,18.05157593,15 <= % <= 20
Total population at birth,Years,Spain,1991,77.1,18.05157593,15 <= % <= 20
Total population at birth,Years,Spain,1992,77.6,18.05157593,15 <= % <= 20
Total population at birth,Years,Spain,1993,77.7,18.05157593,15 <= % <= 20
Total population at birth,Years,Spain,1994,78.1,18.05157593,15 <= % <= 20
Total population at birth,Years,Spain,1995,78.1,18.05157593,15 <= % <= 20
Total population at birth,Years,Spain,1996,78.3,18.05157593,15 <= % <= 20
Total population at birth,Years,Spain,1997,78.8,18.05157593,15 <= % <= 20
Total population at birth,Years,Spain,1998,78.9,18.05157593,15 <= % <= 20
Total population at birth,Years,Spain,1999,78.8,18.05157593,15 <= % <= 20
Total population at birth,Years,Spain,2000,79.3,18.05157593,15 <= % <= 20
Total population at birth,Years,Spain,2001,79.8,18.05157593,15 <= % <= 20
Total population at birth,Years,Spain,2002,79.9,18.05157593,15 <= % <= 20
Total population at birth,Years,Spain,2003,79.7,18.05157593,15 <= % <= 20
Total population at birth,Years,Spain,2004,80.4,18.05157593,15 <= % <= 20
Total population at birth,Years,Spain,2005,80.3,18.05157593,15 <= % <= 20
Total population at birth,Years,Spain,2006,81.1,18.05157593,15 <= % <= 20
Total population at birth,Years,Spain,2007,81.2,18.05157593,15 <= % <= 20
Total population at birth,Years,Spain,2008,81.5,18.05157593,15 <= % <= 20
Total population at birth,Years,Spain,2009,81.9,18.05157593,15 <= % <= 20
Total population at birth,Years,Spain,2010,82.4,18.05157593,15 <= % <= 20
Total population at birth,Years,Spain,2011,82.6,18.05157593,15 <= % <= 20
Total population at birth,Years,Spain,2012,82.5,18.05157593,15 <= % <= 20
Total population at birth,Years,Spain,2013,83.2,18.05157593,15 <= % <= 20
Total population at birth,Years,Spain,2014,83.3,18.05157593,15 <= % <= 20
Total population at birth,Years,Spain,2015,82.9,18.05157593,15 <= % <= 20
Total population at birth,Years,Spain,2016,83.4,18.05157593,15 <= % <= 20
Total population at birth,Years,Spain,2017,83.4,18.05157593,15 <= % <= 20
Total population at birth,Years,Spain,2018,83.5,18.05157593,15 <= % <= 20
Total population at birth,Years,Spain,2019,83.9,18.05157593,15 <= % <= 20
Total population at birth,Years,Spain,2020,82.4,18.05157593,15 <= % <= 20
Total population at birth,Years,United Kingdom,1960,70.8,13.55932203,10 <= % <= 15
Total population at birth,Years,United Kingdom,1961,70.7,13.55932203,10 <= % <= 15
Total population at birth,Years,United Kingdom,1970,71.9,13.55932203,10 <= % <= 15
Total population at birth,Years,United Kingdom,1971,71.9,13.55932203,10 <= % <= 15
Total population at birth,Years,United Kingdom,1980,73.2,13.55932203,10 <= % <= 15
Total population at birth,Years,United Kingdom,1981,73.8,13.55932203,10 <= % <= 15
Total population at birth,Years,United Kingdom,1982,74.1,13.55932203,10 <= % <= 15
Total population at birth,Years,United Kingdom,1983,74.3,13.55932203,10 <= % <= 15
Total population at birth,Years,United Kingdom,1984,74.5,13.55932203,10 <= % <= 15
Total population at birth,Years,United Kingdom,1985,74.7,13.55932203,10 <= % <= 15
Total population at birth,Years,United Kingdom,1986,74.8,13.55932203,10 <= % <= 15
Total population at birth,Years,United Kingdom,1987,75.2,13.55932203,10 <= % <= 15
Total population at birth,Years,United Kingdom,1988,75.3,13.55932203,10 <= % <= 15
Total population at birth,Years,United Kingdom,1989,75.4,13.55932203,10 <= % <= 15
Total population at birth,Years,United Kingdom,1990,75.7,13.55932203,10 <= % <= 15
Total population at birth,Years,United Kingdom,1991,75.9,13.55932203,10 <= % <= 15
Total population at birth,Years,United Kingdom,1992,76.3,13.55932203,10 <= % <= 15
Total population at birth,Years,United Kingdom,1993,76.2,13.55932203,10 <= % <= 15
Total population at birth,Years,United Kingdom,1994,76.8,13.55932203,10 <= % <= 15
Total population at birth,Years,United Kingdom,1995,76.7,13.55932203,10 <= % <= 15
Total population at birth,Years,United Kingdom,1996,76.9,13.55932203,10 <= % <= 15
Total population at birth,Years,United Kingdom,1997,77.2,13.55932203,10 <= % <= 15
Total population at birth,Years,United Kingdom,1998,77.3,13.55932203,10 <= % <= 15
Total population at birth,Years,United Kingdom,1999,77.5,13.55932203,10 <= % <= 15
Total population at birth,Years,United Kingdom,2000,77.9,13.55932203,10 <= % <= 15
Total population at birth,Years,United Kingdom,2001,78.2,13.55932203,10 <= % <= 15
Total population at birth,Years,United Kingdom,2002,78.3,13.55932203,10 <= % <= 15
Total population at birth,Years,United Kingdom,2003,78.4,13.55932203,10 <= % <= 15
Total population at birth,Years,United Kingdom,2004,79,13.55932203,10 <= % <= 15
Total population at birth,Years,United Kingdom,2005,79.2,13.55932203,10 <= % <= 15
Total population at birth,Years,United Kingdom,2006,79.5,13.55932203,10 <= % <= 15
Total population at birth,Years,United Kingdom,2007,79.7,13.55932203,10 <= % <= 15
Total population at birth,Years,United Kingdom,2008,79.8,13.55932203,10 <= % <= 15
Total population at birth,Years,United Kingdom,2009,80.4,13.55932203,10 <= % <= 15
Total population at birth,Years,United Kingdom,2010,80.6,13.55932203,10 <= % <= 15
Total population at birth,Years,United Kingdom,2011,81,13.55932203,10 <= % <= 15
Total population at birth,Years,United Kingdom,2012,81,13.55932203,10 <= % <= 15
Total population at birth,Years,United Kingdom,2013,81.1,13.55932203,10 <= % <= 15
Total population at birth,Years,United Kingdom,2014,81.4,13.55932203,10 <= % <= 15
Total population at birth,Years,United Kingdom,2015,81,13.55932203,10 <= % <= 15
Total population at birth,Years,United Kingdom,2016,81.2,13.55932203,10 <= % <= 15
Total population at birth,Years,United Kingdom,2017,81.3,13.55932203,10 <= % <= 15
Total population at birth,Years,United Kingdom,2018,81.3,13.55932203,10 <= % <= 15
Total population at birth,Years,United Kingdom,2019,81.4,13.55932203,10 <= % <= 15
Total population at birth,Years,United Kingdom,2020,80.4,13.55932203,10 <= % <= 15
Total population at birth,Years,Estonia,1960,68.9,13.93323657,10 <= % <= 15
Total population at birth,Years,Estonia,1961,69.2,13.93323657,10 <= % <= 15
Total population at birth,Years,Estonia,1962,69.4,13.93323657,10 <= % <= 15
Total population at birth,Years,Estonia,1963,69.5,13.93323657,10 <= % <= 15
Total population at birth,Years,Estonia,1964,70.3,13.93323657,10 <= % <= 15
Total population at birth,Years,Estonia,1965,70.3,13.93323657,10 <= % <= 15
Total population at birth,Years,Estonia,1966,70.4,13.93323657,10 <= % <= 15
Total population at birth,Years,Estonia,1967,70.6,13.93323657,10 <= % <= 15
Total population at birth,Years,Estonia,1968,70.2,13.93323657,10 <= % <= 15
Total population at birth,Years,Estonia,1969,69.9,13.93323657,10 <= % <= 15
Total population at birth,Years,Estonia,1970,70,13.93323657,10 <= % <= 15
Total population at birth,Years,Estonia,1971,70.3,13.93323657,10 <= % <= 15
Total population at birth,Years,Estonia,1972,70.1,13.93323657,10 <= % <= 15
Total population at birth,Years,Estonia,1973,70.4,13.93323657,10 <= % <= 15
Total population at birth,Years,Estonia,1974,70.5,13.93323657,10 <= % <= 15
Total population at birth,Years,Estonia,1975,69.9,13.93323657,10 <= % <= 15
Total population at birth,Years,Estonia,1976,69.5,13.93323657,10 <= % <= 15
Total population at birth,Years,Estonia,1977,69.6,13.93323657,10 <= % <= 15
Total population at birth,Years,Estonia,1978,69.4,13.93323657,10 <= % <= 15
Total population at birth,Years,Estonia,1979,69.2,13.93323657,10 <= % <= 15
Total population at birth,Years,Estonia,1980,69.3,13.93323657,10 <= % <= 15
Total population at birth,Years,Estonia,1981,69.1,13.93323657,10 <= % <= 15
Total population at birth,Years,Estonia,1982,69.7,13.93323657,10 <= % <= 15
Total population at birth,Years,Estonia,1983,69.6,13.93323657,10 <= % <= 15
Total population at birth,Years,Estonia,1984,69.5,13.93323657,10 <= % <= 15
Total population at birth,Years,Estonia,1985,69.6,13.93323657,10 <= % <= 15
Total population at birth,Years,Estonia,1986,70.7,13.93323657,10 <= % <= 15
Total population at birth,Years,Estonia,1987,70.7,13.93323657,10 <= % <= 15
Total population at birth,Years,Estonia,1988,70.8,13.93323657,10 <= % <= 15
Total population at birth,Years,Estonia,1989,70.3,13.93323657,10 <= % <= 15
Total population at birth,Years,Estonia,1990,69.8,13.93323657,10 <= % <= 15
Total population at birth,Years,Estonia,1991,69.7,13.93323657,10 <= % <= 15
Total population at birth,Years,Estonia,1992,69.1,13.93323657,10 <= % <= 15
Total population at birth,Years,Estonia,1993,68.2,13.93323657,10 <= % <= 15
Total population at birth,Years,Estonia,1994,66.8,13.93323657,10 <= % <= 15
Total population at birth,Years,Estonia,1995,67.9,13.93323657,10 <= % <= 15
Total population at birth,Years,Estonia,1996,69.9,13.93323657,10 <= % <= 15
Total population at birth,Years,Estonia,1997,70.1,13.93323657,10 <= % <= 15
Total population at birth,Years,Estonia,1998,69.7,13.93323657,10 <= % <= 15
Total population at birth,Years,Estonia,1999,70.6,13.93323657,10 <= % <= 15
Total population at birth,Years,Estonia,2000,71,13.93323657,10 <= % <= 15
Total population at birth,Years,Estonia,2001,70.9,13.93323657,10 <= % <= 15
Total population at birth,Years,Estonia,2002,71.4,13.93323657,10 <= % <= 15
Total population at birth,Years,Estonia,2003,71.8,13.93323657,10 <= % <= 15
Total population at birth,Years,Estonia,2004,72.4,13.93323657,10 <= % <= 15
Total population at birth,Years,Estonia,2005,72.9,13.93323657,10 <= % <= 15
Total population at birth,Years,Estonia,2006,73.1,13.93323657,10 <= % <= 15
Total population at birth,Years,Estonia,2007,73.2,13.93323657,10 <= % <= 15
Total population at birth,Years,Estonia,2008,74.2,13.93323657,10 <= % <= 15
Total population at birth,Years,Estonia,2009,75.2,13.93323657,10 <= % <= 15
Total population at birth,Years,Estonia,2010,75.9,13.93323657,10 <= % <= 15
Total population at birth,Years,Estonia,2011,76.4,13.93323657,10 <= % <= 15
Total population at birth,Years,Estonia,2012,76.5,13.93323657,10 <= % <= 15
Total population at birth,Years,Estonia,2013,77.3,13.93323657,10 <= % <= 15
Total population at birth,Years,Estonia,2014,77.2,13.93323657,10 <= % <= 15
Total population at birth,Years,Estonia,2015,77.7,13.93323657,10 <= % <= 15
Total population at birth,Years,Estonia,2016,77.8,13.93323657,10 <= % <= 15
Total population at birth,Years,Estonia,2017,78.2,13.93323657,10 <= % <= 15
Total population at birth,Years,Estonia,2018,78.4,13.93323657,10 <= % <= 15
Total population at birth,Years,Estonia,2019,78.8,13.93323657,10 <= % <= 15
Total population at birth,Years,Estonia,2020,78.5,13.93323657,10 <= % <= 15
